channels,difficulty,duration,gender,age,income,year,month,day,target
1,10,7,1,42,96000.0,2016,1,17,2
1,10,5,1,42,96000.0,2016,1,17,3
1,7,7,1,42,96000.0,2016,1,17,1
1,20,10,1,42,96000.0,2016,1,17,0
0,10,7,0,67,67000.0,2015,9,29,2
1,10,7,1,54,39000.0,2018,5,23,2
1,10,10,1,54,39000.0,2018,5,23,7
1,10,7,1,54,39000.0,2018,5,23,5
1,10,5,1,54,39000.0,2018,5,23,3
1,5,5,1,54,39000.0,2018,5,23,6
0,10,7,0,64,83000.0,2016,12,24,2
0,10,7,0,77,39000.0,2018,3,29,2
0,20,10,0,77,39000.0,2018,3,29,0
1,10,7,1,54,83000.0,2017,10,4,2
1,10,10,1,54,83000.0,2017,10,4,7
1,5,7,1,54,83000.0,2017,10,4,4
1,10,5,1,54,83000.0,2017,10,4,3
0,10,7,0,58,86000.0,2017,2,4,2
0,10,7,0,58,86000.0,2017,2,4,5
1,10,7,1,68,71000.0,2016,12,17,2
1,5,7,1,68,71000.0,2016,12,17,4
1,10,7,1,68,71000.0,2016,12,17,5
1,7,7,1,68,71000.0,2016,12,17,1
0,10,7,0,55,71000.0,2015,8,4,2
0,10,10,0,55,71000.0,2015,8,4,7
0,5,7,0,55,71000.0,2015,8,4,4
1,10,7,1,44,75000.0,2015,8,21,2
1,5,7,1,44,75000.0,2015,8,21,4
1,5,5,1,44,75000.0,2015,8,21,6
0,10,7,0,62,74000.0,2018,2,4,2
0,5,5,0,62,74000.0,2018,2,4,6
0,20,10,0,62,74000.0,2018,2,4,0
0,10,7,0,76,66000.0,2016,10,27,2
0,7,7,0,76,66000.0,2016,10,27,1
0,5,5,0,76,66000.0,2016,10,27,6
1,10,7,1,78,52000.0,2018,3,19,2
0,10,7,0,53,62000.0,2017,12,7,2
0,10,5,0,53,62000.0,2017,12,7,3
0,10,7,0,91,39000.0,2016,12,17,2
0,10,10,0,91,39000.0,2016,12,17,7
0,20,10,0,91,39000.0,2016,12,17,0
1,10,7,1,51,81000.0,2015,12,16,2
1,5,7,1,51,81000.0,2015,12,16,4
1,10,5,1,51,81000.0,2015,12,16,3
0,10,7,0,63,53000.0,2017,1,6,2
0,7,7,0,63,53000.0,2017,1,6,1
0,5,5,0,63,53000.0,2017,1,6,6
0,20,10,0,63,53000.0,2017,1,6,0
0,10,7,0,53,52000.0,2016,9,22,2
0,10,5,0,53,52000.0,2016,9,22,3
1,10,7,1,59,96000.0,2016,2,23,2
1,5,7,1,59,96000.0,2016,2,23,4
0,10,7,0,38,68000.0,2017,5,26,2
0,10,7,0,38,68000.0,2017,5,26,5
0,10,5,0,38,68000.0,2017,5,26,3
0,7,7,0,38,68000.0,2017,5,26,1
0,10,7,0,101,82000.0,2017,11,27,2
0,10,10,0,101,82000.0,2017,11,27,7
0,5,5,0,101,82000.0,2017,11,27,6
0,20,10,0,101,82000.0,2017,11,27,0
1,10,7,1,21,69000.0,2016,6,26,2
1,5,7,1,21,69000.0,2016,6,26,4
1,5,5,1,21,69000.0,2016,6,26,6
1,20,10,1,21,69000.0,2016,6,26,0
0,10,7,0,79,42000.0,2016,11,20,2
0,10,10,0,79,42000.0,2016,11,20,7
0,7,7,0,79,42000.0,2016,11,20,1
1,10,7,1,63,59000.0,2018,2,18,2
1,5,7,1,63,59000.0,2018,2,18,4
1,10,7,1,60,82000.0,2017,8,15,2
1,7,7,1,60,82000.0,2017,8,15,1
1,10,7,1,64,48000.0,2018,4,3,2
1,5,7,1,64,48000.0,2018,4,3,4
1,10,7,1,64,48000.0,2018,4,3,5
1,5,5,1,64,48000.0,2018,4,3,6
1,20,10,1,64,48000.0,2018,4,3,0
1,10,7,1,44,68000.0,2015,2,25,2
1,10,10,1,44,68000.0,2015,2,25,7
1,10,7,1,44,68000.0,2015,2,25,5
0,10,7,0,57,102000.0,2017,11,3,2
0,10,10,0,57,102000.0,2017,11,3,7
0,10,7,0,57,102000.0,2017,11,3,5
0,10,7,0,34,52000.0,2017,3,9,2
0,5,7,0,34,52000.0,2017,3,9,4
0,20,10,0,34,52000.0,2017,3,9,0
1,10,7,1,61,114000.0,2016,10,19,2
1,10,5,1,61,114000.0,2016,10,19,3
1,20,10,1,61,114000.0,2016,10,19,0
1,10,7,1,83,70000.0,2015,12,30,2
1,10,10,1,83,70000.0,2015,12,30,7
1,10,7,1,83,70000.0,2015,12,30,5
1,5,5,1,83,70000.0,2015,12,30,6
1,10,7,1,30,54000.0,2016,7,10,2
1,5,5,1,30,54000.0,2016,7,10,6
0,10,7,0,58,83000.0,2017,1,7,2
0,5,7,0,58,83000.0,2017,1,7,4
1,10,7,1,66,44000.0,2015,9,2,2
1,10,10,1,66,44000.0,2015,9,2,7
1,10,7,1,57,74000.0,2016,10,8,2
1,10,10,1,57,74000.0,2016,10,8,7
1,7,7,1,57,74000.0,2016,10,8,1
1,10,7,1,53,116000.0,2017,9,29,2
1,5,7,1,53,116000.0,2017,9,29,4
1,7,7,1,53,116000.0,2017,9,29,1
1,5,5,1,53,116000.0,2017,9,29,6
1,20,10,1,53,116000.0,2017,9,29,0
0,10,7,0,78,72000.0,2014,5,24,2
0,10,10,0,78,72000.0,2014,5,24,7
0,7,7,0,78,72000.0,2014,5,24,1
0,10,7,0,60,50000.0,2017,12,6,2
0,10,10,0,60,50000.0,2017,12,6,7
0,10,7,0,61,115000.0,2016,3,24,2
0,5,5,0,61,115000.0,2016,3,24,6
0,10,7,0,82,74000.0,2017,4,12,2
0,10,5,0,82,74000.0,2017,4,12,3
1,10,7,1,45,82000.0,2016,4,20,2
1,5,7,1,45,82000.0,2016,4,20,4
1,20,10,1,45,82000.0,2016,4,20,0
1,10,7,1,54,54000.0,2016,3,23,2
1,10,5,1,54,54000.0,2016,3,23,3
1,10,7,1,47,59000.0,2014,6,3,2
1,10,10,1,47,59000.0,2014,6,3,7
1,5,7,1,47,59000.0,2014,6,3,4
1,7,7,1,47,59000.0,2014,6,3,1
0,10,7,0,69,51000.0,2016,4,12,2
0,10,10,0,69,51000.0,2016,4,12,7
0,10,7,0,69,51000.0,2016,4,12,5
2,10,7,2,55,80000.0,2017,10,22,2
2,10,10,2,55,80000.0,2017,10,22,7
1,10,7,1,47,99000.0,2015,9,8,2
1,20,10,1,47,99000.0,2015,9,8,0
0,10,7,0,62,80000.0,2017,1,12,2
0,10,7,0,62,80000.0,2017,1,12,5
1,10,7,1,79,90000.0,2018,1,23,2
1,10,7,1,79,90000.0,2018,1,23,5
0,10,7,0,76,34000.0,2018,6,13,2
1,10,7,1,54,92000.0,2015,8,11,2
1,10,7,1,54,92000.0,2015,8,11,5
1,20,10,1,54,92000.0,2015,8,11,0
1,10,7,1,60,93000.0,2013,8,2,2
1,5,7,1,60,93000.0,2013,8,2,4
1,7,7,1,60,93000.0,2013,8,2,1
0,10,7,0,57,89000.0,2016,10,4,2
0,5,7,0,57,89000.0,2016,10,4,4
0,10,5,0,57,89000.0,2016,10,4,3
0,10,7,0,74,89000.0,2016,8,19,2
0,5,5,0,74,89000.0,2016,8,19,6
0,10,7,0,51,74000.0,2017,2,24,2
0,10,10,0,51,74000.0,2017,2,24,7
0,10,7,0,64,73000.0,2016,9,5,2
0,5,7,0,64,73000.0,2016,9,5,4
0,20,10,0,64,73000.0,2016,9,5,0
0,10,7,0,40,71000.0,2017,6,15,2
0,10,7,0,40,71000.0,2017,6,15,5
0,7,7,0,40,71000.0,2017,6,15,1
1,10,7,1,47,57000.0,2017,1,9,2
1,10,5,1,47,57000.0,2017,1,9,3
0,10,7,0,58,68000.0,2017,4,13,2
0,10,5,0,58,68000.0,2017,4,13,3
0,7,7,0,58,68000.0,2017,4,13,1
0,10,7,0,45,87000.0,2015,8,31,2
0,5,7,0,45,87000.0,2015,8,31,4
0,5,5,0,45,87000.0,2015,8,31,6
0,20,10,0,45,87000.0,2015,8,31,0
0,10,7,0,70,99000.0,2016,2,18,2
0,10,10,0,70,99000.0,2016,2,18,7
0,10,7,0,70,99000.0,2016,2,18,5
0,5,5,0,70,99000.0,2016,2,18,6
1,10,7,1,54,69000.0,2015,10,11,2
1,5,7,1,54,69000.0,2015,10,11,4
1,7,7,1,54,69000.0,2015,10,11,1
1,10,7,1,78,87000.0,2016,8,5,2
1,5,7,1,78,87000.0,2016,8,5,4
1,10,5,1,78,87000.0,2016,8,5,3
1,7,7,1,78,87000.0,2016,8,5,1
1,20,10,1,78,87000.0,2016,8,5,0
0,10,7,0,40,79000.0,2015,9,5,2
0,10,10,0,40,79000.0,2015,9,5,7
0,10,7,0,40,79000.0,2015,9,5,5
1,10,7,1,66,43000.0,2016,10,22,2
1,5,5,1,66,43000.0,2016,10,22,6
1,10,7,1,64,84000.0,2016,3,6,2
1,10,10,1,64,84000.0,2016,3,6,7
1,7,7,1,64,84000.0,2016,3,6,1
1,10,7,1,42,47000.0,2016,6,6,2
1,5,7,1,42,47000.0,2016,6,6,4
1,10,7,1,68,77000.0,2017,7,2,2
1,10,7,1,68,77000.0,2017,7,2,5
1,5,5,1,68,77000.0,2017,7,2,6
0,10,7,0,56,73000.0,2017,10,1,2
0,10,7,0,56,73000.0,2017,10,1,5
0,20,10,0,56,73000.0,2017,10,1,0
0,10,7,0,48,60000.0,2017,4,1,2
0,10,10,0,48,60000.0,2017,4,1,7
0,10,7,0,48,60000.0,2017,4,1,5
0,7,7,0,48,60000.0,2017,4,1,1
1,10,7,1,49,82000.0,2017,8,31,2
1,10,10,1,49,82000.0,2017,8,31,7
1,20,10,1,49,82000.0,2017,8,31,0
0,10,7,0,46,40000.0,2017,11,27,2
0,10,7,0,46,40000.0,2017,11,27,5
0,10,5,0,46,40000.0,2017,11,27,3
0,5,5,0,46,40000.0,2017,11,27,6
1,10,7,1,59,77000.0,2016,6,11,2
1,5,7,1,59,77000.0,2016,6,11,4
1,10,5,1,59,77000.0,2016,6,11,3
0,10,7,0,44,86000.0,2017,10,31,2
0,5,7,0,44,86000.0,2017,10,31,4
1,10,7,1,47,52000.0,2016,8,2,2
